time,frequency,confidence
2.450,501.177,0.457835
2.460,479.741,0.520362
2.470,484.601,0.697223
2.480,486.410,0.825472
2.490,485.361,0.885350
2.500,487.028,0.774329
2.510,497.179,0.595926
2.520,515.654,0.637844
2.530,517.482,0.453973
2.540,354.793,0.256318
2.550,348.686,0.583889
2.560,348.679,0.781543
2.570,344.629,0.772622
2.580,338.928,0.760786
2.590,333.942,0.867010
2.600,331.502,0.902956
2.610,331.255,0.873531
2.620,339.248,0.455514
2.630,352.137,0.344937
2.640,390.691,0.442986
2.650,462.080,0.444884
2.660,481.669,0.571009
2.670,495.718,0.699862
2.680,509.008,0.682961
2.690,530.231,0.628125
2.700,544.564,0.438822
2.710,578.692,0.609949
2.720,547.717,0.659095
2.730,543.733,0.870321
2.740,539.603,0.825367
2.750,541.077,0.421496
2.760,496.459,0.477716
2.770,495.971,0.751976
2.780,499.294,0.588408
2.790,532.260,0.270401
2.800,265.214,0.215938
2.810,308.347,0.157591
2.820,1051.785,0.155080
2.830,1048.373,0.379871
2.840,1038.375,0.208927
2.850,1035.752,0.138346
2.860,1038.431,0.153058
2.870,1037.168,0.198582
2.880,1022.388,0.150609
2.890,1020.771,0.048375
2.900,993.103,0.124973
2.910,501.754,0.178793
2.920,500.471,0.586501
2.930,502.446,0.851564
2.940,500.372,0.887306
2.950,495.810,0.782748
2.960,482.527,0.802985
2.970,472.600,0.812190
2.980,457.190,0.817908
2.990,446.262,0.926843
3.000,440.551,0.947239
3.010,436.023,0.940598
3.020,432.289,0.941343
3.030,429.357,0.908064
3.040,424.343,0.878845
3.050,419.580,0.902619
3.060,418.214,0.946872
3.070,419.443,0.900252
3.080,423.149,0.914455
3.090,426.622,0.940982
3.100,429.559,0.934854
3.110,432.209,0.950960
3.120,434.227,0.937557
3.130,434.627,0.939499
3.140,433.195,0.930987
3.150,430.393,0.934350
3.160,427.476,0.925531
3.170,425.182,0.909943
3.180,423.563,0.901112
3.190,422.332,0.909200
3.200,425.877,0.917748
3.210,431.720,0.931617
3.220,440.262,0.930697
3.230,448.073,0.902757
3.240,457.667,0.888259
3.250,466.007,0.896019
3.260,472.340,0.911446
3.270,482.688,0.818502
3.280,492.763,0.920049
3.290,497.097,0.937423
3.300,502.236,0.840339
3.310,510.472,0.566009
3.320,525.327,0.383202
3.330,578.611,0.354582
3.340,583.067,0.819341
3.350,586.462,0.878320
3.360,585.794,0.858984
3.370,589.397,0.566878
3.380,90.067,0.268950
3.390,92.589,0.398557
3.400,95.056,0.292959
3.410,96.513,0.547126
3.420,97.195,0.624199
3.430,98.824,0.298372
3.440,33.964,0.367924
3.450,34.171,0.400122
3.460,34.741,0.069166
3.470,82.573,0.119596
3.480,81.327,0.200887
3.490,82.028,0.060582
3.500,138.783,0.070436
3.510,136.477,0.061235
3.520,133.765,0.278732
3.530,139.519,0.057285
3.540,168.876,0.237526
3.550,172.786,0.174982
3.560,171.636,0.183575
3.570,171.561,0.201935
3.580,170.589,0.262315
3.590,166.874,0.200888
3.600,162.465,0.137137
3.610,155.928,0.209246
3.620,154.435,0.625195
3.630,156.066,0.639776
3.640,159.041,0.481878
3.650,163.101,0.335988
3.660,162.005,0.099131
3.670,1568.364,0.113020
3.680,1572.023,0.079604
3.690,1579.993,0.090084
3.700,296.022,0.526606
3.710,295.185,0.689635
3.720,299.735,0.220721
3.730,175.223,0.331015
3.740,320.799,0.559873
3.750,320.264,0.380660
3.760,317.146,0.152141
3.770,1252.099,0.214128
3.780,1878.067,0.171126
3.790,1866.624,0.208475
3.800,164.567,0.221645
3.810,164.397,0.563180
3.820,166.985,0.359449
3.830,174.375,0.200240
3.840,34.781,0.160849
3.850,174.463,0.065146
3.860,139.541,0.157324
3.870,146.238,0.286592
3.880,148.059,0.164744
3.890,150.522,0.196931
3.900,156.254,0.304806
3.910,161.360,0.322436
3.920,168.087,0.197021
3.930,178.010,0.033620
3.940,119.409,0.056427
3.950,80.225,0.094181
3.960,120.018,0.306293
3.970,117.921,0.144191
3.980,47.761,0.047312
3.990,166.213,0.116412
4.000,143.022,0.111636
4.010,151.289,0.217604
4.020,154.233,0.192454
4.030,154.219,0.326425
4.040,151.972,0.090601
4.050,1866.961,0.038375
4.060,1230.072,0.027145
4.070,129.316,0.108506
4.080,156.344,0.136283
4.090,158.209,0.446209
4.100,158.019,0.326821
4.110,156.692,0.309499
4.120,154.076,0.218209
4.130,307.029,0.316307
4.140,310.380,0.615174
4.150,315.703,0.748045
4.160,1488.726,0.157233
4.170,1490.277,0.317683
4.180,1494.270,0.141047
4.190,42.582,0.168810
4.200,1566.162,0.111865
4.210,32.966,0.150694
4.220,1185.086,0.094003
4.230,1487.933,0.034920
4.240,51.917,0.052969
4.250,120.121,0.104343
4.260,118.952,0.130886
4.270,138.132,0.141035
4.280,165.185,0.211610
4.290,165.705,0.393756
