time,frequency,confidence
2.410,846.117,0.076687
2.420,1245.558,0.295884
2.430,155.699,0.213111
2.440,930.800,0.119705
2.450,934.352,0.060727
2.460,180.517,0.100515
2.470,1233.210,0.145327
2.480,1238.482,0.157966
2.490,1261.547,0.128458
2.500,267.988,0.130201
2.510,299.702,0.381299
2.520,289.896,0.282409
2.530,284.507,0.200496
2.540,171.175,0.096173
2.550,855.512,0.118774
2.560,858.182,0.130141
2.570,832.860,0.222770
2.580,1243.040,0.313726
2.590,1256.252,0.183258
2.600,456.422,0.197252
2.610,459.681,0.260253
2.620,924.714,0.184830
2.630,1251.092,0.192793
2.640,1237.114,0.102747
2.650,837.263,0.286705
2.660,834.248,0.621251
2.670,831.549,0.527735
2.680,1234.962,0.329397
2.690,834.562,0.365557
2.700,1255.373,0.042424
2.710,919.063,0.074291
2.720,837.215,0.403010
2.730,835.742,0.415046
2.740,1264.234,0.146725
2.750,1388.652,0.168176
2.760,1242.996,0.268816
2.770,843.098,0.165276
2.780,458.318,0.251516
2.790,461.077,0.272247
2.800,1263.094,0.067133
2.810,453.071,0.232645
2.820,458.650,0.166356
2.830,282.546,0.152167
2.840,837.410,0.547200
2.850,432.848,0.288410
2.860,446.299,0.420691
2.870,466.114,0.225171
2.880,463.622,0.660756
2.890,463.269,0.601629
2.900,424.084,0.130338
2.910,452.127,0.158674
2.920,451.635,0.383926
2.930,450.986,0.160375
2.940,423.440,0.489158
2.950,452.767,0.379447
2.960,459.898,0.452948
2.970,1255.281,0.084260
2.980,923.131,0.124443
2.990,154.778,0.124086
3.000,1248.601,0.143801
3.010,625.757,0.258434
3.020,1262.253,0.126320
3.030,464.232,0.122775
3.040,467.097,0.096520
3.050,1278.292,0.183782
3.060,1407.186,0.107541
3.070,464.589,0.337444
3.080,625.953,0.107768
3.090,631.606,0.258174
3.100,1370.014,0.046514
3.110,342.067,0.107475
3.120,841.039,0.267107
3.130,427.425,0.348585
3.140,455.217,0.617510
3.150,458.305,0.537020
3.160,922.678,0.259920
3.170,842.428,0.348004
3.180,846.324,0.183632
3.190,435.138,0.113574
3.200,453.729,0.289832
3.210,451.598,0.209077
3.220,455.447,0.190162
3.230,455.175,0.206536
3.240,311.571,0.134887
3.250,426.852,0.305364
3.260,282.851,0.293280
3.270,461.531,0.098781
3.280,424.447,0.144302
3.290,430.218,0.411901
3.300,278.233,0.099156
3.310,828.230,0.172543
3.320,624.928,0.274852
3.330,310.740,0.329457
3.340,293.172,0.161863
3.350,865.454,0.392439
3.360,844.753,0.181165
3.370,444.787,0.137897
