time,frequency,confidence
2.450,123.231,0.422898
2.460,61.945,0.464233
2.470,61.964,0.663790
2.480,61.568,0.765468
2.490,61.702,0.773769
2.500,61.754,0.788050
2.510,61.963,0.727301
2.520,123.916,0.471816
2.530,123.539,0.588580
2.540,123.301,0.698280
2.550,122.765,0.783974
2.560,122.823,0.709068
2.570,122.947,0.733727
2.580,123.669,0.809303
2.590,124.287,0.740938
2.600,124.174,0.784923
2.610,124.169,0.747300
2.620,123.520,0.774846
2.630,123.132,0.670648
2.640,123.137,0.512866
2.650,308.715,0.345377
2.660,123.419,0.320207
2.670,123.203,0.221187
2.680,61.702,0.365233
2.690,61.897,0.498160
2.700,183.288,0.640830
2.710,182.903,0.782247
2.720,182.803,0.864242
2.730,182.638,0.854131
2.740,183.572,0.843793
2.750,184.441,0.849554
2.760,184.548,0.774189
2.770,184.447,0.701390
2.780,184.791,0.749687
2.790,184.648,0.477545
2.800,372.800,0.545804
2.810,372.373,0.822057
2.820,371.585,0.634794
2.830,61.842,0.519101
2.840,370.430,0.480799
2.850,370.115,0.423351
2.860,370.236,0.466958
2.870,370.076,0.547736
2.880,372.162,0.751368
2.890,372.537,0.663233
2.900,372.324,0.759542
2.910,372.403,0.813718
2.920,370.065,0.811223
2.930,368.106,0.768413
2.940,366.804,0.610528
2.950,363.732,0.421436
2.960,366.141,0.118985
2.970,124.229,0.234781
2.980,123.039,0.229512
2.990,371.696,0.219557
3.000,374.356,0.411059
3.010,124.147,0.496138
3.020,123.689,0.605134
3.030,121.917,0.368859
3.040,370.852,0.378414
3.050,372.595,0.118459
3.060,371.684,0.131060
3.070,162.027,0.091024
3.080,366.432,0.055996
3.090,135.277,0.111360
3.100,371.722,0.178292
3.110,370.809,0.507788
3.120,369.531,0.321472
3.130,369.038,0.182611
3.140,367.224,0.497065
3.150,366.963,0.333290
3.160,368.229,0.054889
3.170,315.637,0.151325
3.180,316.925,0.253241
3.190,310.153,0.240253
3.200,302.484,0.588902
3.210,299.362,0.480243
3.220,302.852,0.251563
3.230,32.923,0.134321
3.240,284.145,0.178904
3.250,287.814,0.363773
3.260,296.697,0.477622
3.270,297.573,0.620253
3.280,295.200,0.734993
3.290,294.921,0.710518
3.300,291.070,0.433791
3.310,285.325,0.399340
3.320,274.599,0.185919
3.330,221.878,0.053387
3.340,304.017,0.058315
3.350,181.254,0.288006
3.360,60.998,0.181856
3.370,61.164,0.647834
3.380,61.326,0.518962
3.390,122.894,0.314365
3.400,123.094,0.300960
3.410,122.919,0.110040
3.420,122.522,0.220727
3.430,122.977,0.128620
3.440,45.931,0.284680
3.450,45.409,0.209718
3.460,124.559,0.217964
3.470,124.419,0.388673
3.480,61.884,0.546473
3.490,61.574,0.419296
3.500,121.110,0.376569
3.510,121.923,0.405923
3.520,123.253,0.474363
3.530,123.055,0.572181
3.540,122.882,0.609681
3.550,122.687,0.562103
3.560,122.367,0.471946
3.570,122.034,0.634294
3.580,121.813,0.713967
3.590,122.080,0.536318
3.600,366.988,0.271981
3.610,365.709,0.090460
3.620,53.739,0.141301
3.630,161.000,0.022772
3.640,122.274,0.019796
3.650,122.714,0.163864
3.660,122.693,0.366319
3.670,123.119,0.367042
3.680,61.957,0.612059
3.690,123.976,0.413351
3.700,62.019,0.260941
3.710,61.784,0.583934
3.720,61.541,0.661010
3.730,61.264,0.701285
3.740,61.700,0.544667
3.750,121.389,0.453239
3.760,121.795,0.411477
3.770,61.905,0.590828
3.780,62.119,0.538548
3.790,62.103,0.798729
3.800,62.017,0.882586
3.810,61.836,0.914578
3.820,61.795,0.802862
3.830,61.603,0.718170
3.840,61.598,0.619626
3.850,61.651,0.648204
3.860,61.836,0.672118
3.870,123.924,0.650423
3.880,123.557,0.778033
3.890,122.848,0.751042
3.900,61.328,0.664864
3.910,61.998,0.659446
3.920,62.248,0.332679
3.930,62.025,0.425074
