time,frequency,confidence
2.450,62.429,0.549833
2.460,62.248,0.638521
2.470,62.227,0.648068
2.480,61.694,0.311257
2.490,122.216,0.255908
2.500,122.181,0.299684
2.510,61.655,0.277195
2.520,32.335,0.424386
2.530,32.368,0.158505
2.540,62.145,0.121191
2.550,61.571,0.443441
2.560,61.391,0.578307
2.570,61.380,0.515522
2.580,61.635,0.396561
2.590,59.975,0.249150
2.600,58.582,0.214583
2.610,287.602,0.122735
2.620,278.949,0.093208
2.630,62.599,0.058310
2.640,32.661,0.043201
2.650,224.620,0.087329
2.660,32.282,0.068904
2.670,355.685,0.152178
2.680,357.533,0.276649
2.690,156.247,0.214161
2.700,62.363,0.180300
2.710,267.613,0.296763
2.720,276.977,0.269986
2.730,280.791,0.489184
2.740,306.726,0.207170
2.750,305.503,0.349790
2.760,304.872,0.319803
2.770,305.925,0.512005
2.780,306.023,0.448277
2.790,229.667,0.344689
2.800,229.090,0.458805
2.810,225.210,0.645362
2.820,225.333,0.535978
2.830,226.625,0.413500
2.840,224.269,0.162946
2.850,344.832,0.260437
2.860,345.242,0.298636
2.870,339.777,0.053416
2.880,318.398,0.083447
2.890,323.358,0.140234
2.900,32.309,0.141179
2.910,329.354,0.153563
2.920,33.091,0.197150
2.930,33.203,0.186364
2.940,32.668,0.120941
2.950,32.346,0.072172
2.960,344.622,0.093608
2.970,344.016,0.067158
2.980,32.240,0.055956
2.990,31.929,0.129883
3.000,316.350,0.130769
3.010,315.425,0.371445
3.020,62.478,0.199334
3.030,315.102,0.104661
3.040,32.474,0.141109
3.050,33.119,0.038876
3.060,32.342,0.086508
3.070,270.624,0.164337
3.080,270.613,0.354465
3.090,267.346,0.161899
3.100,231.740,0.151370
3.110,233.145,0.104171
3.120,250.183,0.212528
3.130,229.050,0.209220
3.140,354.566,0.081193
3.150,313.875,0.074486
3.160,34.732,0.040899
3.170,234.412,0.041578
3.180,114.338,0.022687
3.190,39.103,0.021683
3.200,32.069,0.085008
3.210,32.154,0.087844
3.220,33.452,0.197162
3.230,33.718,0.662422
3.240,243.210,0.189266
3.250,276.075,0.433945
3.260,279.923,0.460410
3.270,194.012,0.222107
3.280,216.780,0.095960
3.290,110.639,0.124287
3.300,108.919,0.389980
3.310,111.126,0.304650
3.320,61.837,0.186577
3.330,61.644,0.513345
3.340,61.474,0.661287
3.350,61.282,0.799030
3.360,61.394,0.740115
3.370,61.558,0.848222
3.380,61.559,0.886755
3.390,61.512,0.895400
3.400,61.620,0.912137
3.410,61.506,0.901513
3.420,61.579,0.913085
3.430,61.560,0.913436
3.440,61.366,0.879689
3.450,61.453,0.886133
3.460,61.388,0.890675
3.470,61.558,0.904125
3.480,61.616,0.919057
3.490,61.646,0.914059
3.500,61.668,0.923203
3.510,61.706,0.927169
3.520,61.641,0.911558
3.530,61.658,0.918506
3.540,61.540,0.895598
3.550,61.453,0.883632
3.560,61.386,0.891753
3.570,61.339,0.879363
3.580,61.471,0.893844
3.590,61.496,0.879988
3.600,61.583,0.887830
3.610,62.135,0.593730
3.620,63.374,0.191716
3.630,63.846,0.161676
3.640,195.849,0.077004
3.650,196.429,0.099557
3.660,138.014,0.138014
3.670,62.863,0.408218
3.680,62.632,0.840720
3.690,62.348,0.884642
3.700,62.065,0.917673
3.710,62.278,0.782262
3.720,63.760,0.458996
3.730,64.581,0.270412
3.740,63.235,0.146441
3.750,184.215,0.164494
3.760,36.509,0.186799
3.770,34.839,0.179107
3.780,63.348,0.222584
3.790,63.292,0.420614
3.800,63.192,0.564516
3.810,62.806,0.667819
3.820,62.626,0.608731
3.830,62.079,0.705449
3.840,62.240,0.708635
3.850,62.366,0.678737
3.860,62.136,0.280557
3.870,220.646,0.248003
3.880,223.055,0.299936
3.890,224.305,0.157355
3.900,669.226,0.137051
3.910,668.859,0.316226
3.920,677.249,0.356050
3.930,227.084,0.258040
3.940,230.571,0.198724
3.950,232.205,0.190586
3.960,229.170,0.136408
3.970,328.487,0.188523
3.980,317.182,0.224318
