time,frequency,confidence
2.450,43.087,0.798174
2.460,43.038,0.760953
2.470,42.979,0.774997
2.480,43.092,0.756729
2.490,43.151,0.832263
2.500,43.150,0.816572
2.510,43.113,0.784747
2.520,43.144,0.823189
2.530,43.173,0.814502
2.540,43.232,0.803062
2.550,43.170,0.754222
2.560,43.175,0.798411
2.570,43.187,0.778054
2.580,43.136,0.770918
2.590,43.165,0.828591
2.600,43.170,0.800277
2.610,43.210,0.823549
2.620,43.096,0.771572
2.630,43.151,0.798887
2.640,43.133,0.789933
2.650,43.149,0.791071
2.660,43.215,0.830528
2.670,43.182,0.826115
2.680,43.250,0.842443
2.690,43.021,0.754848
2.700,42.978,0.768036
2.710,43.172,0.730435
2.720,43.193,0.793992
2.730,43.313,0.845752
2.740,43.171,0.804203
2.750,43.207,0.795605
2.760,43.037,0.729386
2.770,43.114,0.758739
2.780,43.295,0.774899
2.790,43.243,0.792990
2.800,43.259,0.832648
2.810,43.103,0.753919
2.820,43.117,0.784284
2.830,43.081,0.720154
2.840,43.152,0.751834
2.850,43.344,0.736756
2.860,43.234,0.797183
2.870,43.180,0.843723
2.880,43.111,0.776227
2.890,43.153,0.806725
2.900,43.153,0.782004
2.910,43.241,0.821179
2.920,43.249,0.723595
2.930,43.102,0.757560
2.940,43.116,0.797723
2.950,43.193,0.754047
2.960,43.284,0.825208
2.970,43.177,0.735124
2.980,43.198,0.768806
2.990,43.160,0.736446
3.000,43.001,0.733609
3.010,43.055,0.793443
3.020,43.165,0.760312
3.030,43.220,0.832513
3.040,43.131,0.734735
3.050,43.119,0.786149
3.060,43.122,0.768749
3.070,43.119,0.794472
3.080,43.127,0.801148
3.090,43.166,0.808263
3.100,43.226,0.836827
3.110,43.059,0.773109
3.120,43.183,0.795299
3.130,43.171,0.780829
3.140,43.220,0.801846
3.150,43.244,0.763316
3.160,43.191,0.811683
3.170,43.141,0.818698
3.180,43.075,0.750343
3.190,43.099,0.767091
3.200,43.106,0.740940
3.210,43.223,0.775387
3.220,43.189,0.785932
3.230,43.069,0.724832
3.240,43.059,0.792537
3.250,43.075,0.769281
3.260,43.194,0.792356
3.270,43.175,0.755694
3.280,43.185,0.810536
3.290,43.209,0.797982
3.300,43.146,0.790032
3.310,43.291,0.786547
3.320,43.298,0.809507
3.330,43.350,0.831211
3.340,43.126,0.774096
3.350,43.091,0.753508
3.360,43.202,0.735174
3.370,43.182,0.785008
3.380,43.218,0.814108
3.390,43.155,0.775615
3.400,43.284,0.800976
3.410,43.009,0.724201
3.420,42.949,0.720781
3.430,43.146,0.755642
3.440,43.111,0.774326
3.450,43.217,0.794254
3.460,43.100,0.789050
3.470,43.268,0.813573
3.480,43.175,0.785737
3.490,43.232,0.817918
3.500,43.331,0.699729
3.510,43.146,0.755923
3.520,43.253,0.771331
3.530,43.064,0.733105
3.540,43.165,0.777285
3.550,43.164,0.700916
3.560,43.204,0.771963
3.570,43.330,0.690490
3.580,43.176,0.780099
3.590,43.144,0.816928
3.600,43.134,0.761800
3.610,43.171,0.745427
3.620,43.131,0.666670
3.630,43.290,0.663243
3.640,43.279,0.664037
3.650,43.051,0.746512
3.660,43.055,0.786799
3.670,43.105,0.753008
3.680,43.170,0.818409
3.690,43.148,0.795426
3.700,43.229,0.807767
3.710,43.119,0.693727
3.720,43.092,0.797822
3.730,43.109,0.687238
3.740,43.155,0.733748
3.750,43.268,0.826579
3.760,43.103,0.793840
3.770,43.249,0.787620
3.780,43.144,0.734497
3.790,43.128,0.778201
3.800,43.086,0.765314
3.810,43.126,0.763919
3.820,43.238,0.829697
3.830,43.090,0.810890
3.840,43.201,0.817792
3.850,43.059,0.755856
3.860,43.240,0.806381
3.870,43.263,0.732741
3.880,43.077,0.768879
3.890,43.177,0.814269
3.900,43.087,0.838908
3.910,43.262,0.837779
3.920,43.070,0.804374
3.930,43.194,0.777650
3.940,43.313,0.778237
3.950,43.171,0.811278
3.960,43.213,0.817636
3.970,43.140,0.826324
3.980,43.356,0.797003
3.990,43.186,0.806015
4.000,43.157,0.776991
4.010,43.224,0.806632
4.020,43.173,0.842129
4.030,43.281,0.802672
4.040,43.107,0.830348
4.050,43.232,0.774373
4.060,43.146,0.790898
4.070,43.199,0.824478
4.080,43.294,0.804965
4.090,43.115,0.811813
4.100,43.226,0.737400
4.110,43.164,0.824174
4.120,43.275,0.793867
4.130,43.019,0.775069
4.140,43.141,0.808761
4.150,43.292,0.748684
4.160,43.171,0.793849
4.170,43.320,0.620210
4.180,43.272,0.805782
4.190,43.283,0.741573
4.200,43.116,0.796573
4.210,43.160,0.751298
4.220,43.299,0.718468
4.230,43.076,0.800961
4.240,42.931,0.766698
4.250,43.021,0.779037
4.260,43.254,0.807913
4.270,43.113,0.804076
4.280,43.071,0.762896
4.290,43.089,0.629321
4.300,43.137,0.768749
4.310,43.273,0.799867
4.320,42.761,0.795054
4.330,42.086,0.649367
4.340,41.786,0.462824
4.350,42.977,0.021290
4.360,32.597,0.086754
4.370,132.562,0.069180
4.380,32.547,0.107584
4.390,43.982,0.098690
4.400,44.097,0.150549
4.410,246.051,0.113405
4.420,48.064,0.121730
4.430,35.514,0.154979
4.440,34.302,0.289053
4.450,33.403,0.543512
4.460,33.043,0.137837
4.470,366.006,0.165219
4.480,371.321,0.264466
4.490,358.128,0.324424
4.500,355.045,0.672479
4.510,356.945,0.732447
4.520,360.523,0.605131
4.530,354.821,0.553458
4.540,349.246,0.848845
4.550,349.416,0.919829
4.560,351.237,0.832948
4.570,350.999,0.637495
4.580,350.232,0.516957
4.590,350.250,0.505578
4.600,268.198,0.110607
4.610,242.949,0.232166
4.620,240.983,0.410901
4.630,241.932,0.134537
4.640,306.042,0.167665
4.650,334.801,0.193181
4.660,336.148,0.178432
4.670,354.495,0.474252
4.680,355.478,0.575810
4.690,354.089,0.771723
4.700,352.442,0.814353
4.710,353.150,0.734408
4.720,361.743,0.151019
4.730,365.890,0.109540
4.740,356.561,0.515438
4.750,355.574,0.465782
4.760,356.528,0.322866
4.770,365.968,0.311140
4.780,183.481,0.339203
4.790,181.197,0.231000
4.800,177.491,0.359839
4.810,350.247,0.447962
4.820,349.762,0.517386
4.830,349.640,0.352339
4.840,350.020,0.249397
4.850,347.698,0.104919
4.860,168.882,0.142667
4.870,33.587,0.066285
4.880,168.879,0.030241
4.890,143.185,0.024409
4.900,176.119,0.045381
4.910,224.249,0.134608
4.920,225.404,0.236304
4.930,225.541,0.225283
4.940,225.948,0.482320
4.950,225.568,0.464618
4.960,223.880,0.610557
4.970,222.841,0.596907
4.980,221.299,0.617191
4.990,222.867,0.570050
5.000,222.923,0.500294
5.010,219.922,0.466758
5.020,216.664,0.243744
5.030,221.363,0.273379
5.040,231.938,0.429465
5.050,229.869,0.711350
5.060,228.546,0.796124
5.070,228.259,0.806523
5.080,226.479,0.685392
5.090,224.101,0.598215
5.100,223.332,0.614454
5.110,226.205,0.409887
5.120,227.493,0.330435
5.130,114.497,0.413010
5.140,113.777,0.396342
5.150,208.317,0.100245
5.160,239.353,0.224925
5.170,223.973,0.239052
5.180,218.893,0.352214
5.190,222.288,0.444395
5.200,223.650,0.693290
5.210,226.626,0.574027
5.220,228.927,0.572418
5.230,232.331,0.627243
5.240,241.085,0.382405
5.250,240.229,0.498240
5.260,233.703,0.492117
5.270,229.991,0.586410
5.280,227.200,0.736683
5.290,226.519,0.784672
5.300,226.702,0.703442
5.310,226.220,0.607370
5.320,223.422,0.186919
5.330,222.299,0.066902
5.340,43.722,0.043831
5.350,1962.569,0.018935
5.360,230.241,0.018028
5.370,227.195,0.140117
5.380,1153.309,0.067154
5.390,1165.868,0.042451
5.400,34.903,0.031055
5.410,219.040,0.026259
5.420,956.158,0.011808
5.430,1874.409,0.012118
5.440,118.535,0.011823
5.450,457.248,0.014614
5.460,35.527,0.024835
5.470,35.505,0.110215
5.480,35.427,0.195530
5.490,100.827,0.125853
5.500,193.805,0.093621
5.510,191.382,0.127365
5.520,37.333,0.077731
5.530,916.301,0.082795
5.540,915.703,0.044747
5.550,154.279,0.069822
5.560,48.382,0.161286
5.570,47.579,0.110382
5.580,33.145,0.326135
5.590,233.275,0.078888
5.600,1237.403,0.058202
5.610,1231.168,0.196027
5.620,1231.529,0.254736
5.630,1236.727,0.099642
5.640,168.093,0.229331
5.650,168.198,0.280486
5.660,172.143,0.193727
5.670,173.135,0.100239
5.680,351.336,0.052497
5.690,354.282,0.072427
5.700,352.901,0.081785
5.710,32.422,0.073826
5.720,1405.480,0.031588
5.730,236.154,0.083340
5.740,352.934,0.221129
5.750,352.323,0.313188
5.760,352.199,0.574626
5.770,464.129,0.359878
5.780,461.998,0.704498
5.790,461.749,0.833279
5.800,463.177,0.822861
5.810,463.610,0.798798
5.820,465.567,0.795533
5.830,464.916,0.422298
5.840,466.077,0.344880
5.850,467.504,0.271805
5.860,1389.949,0.091723
5.870,1384.943,0.113046
5.880,456.993,0.037859
5.890,411.842,0.470001
5.900,411.467,0.337044
5.910,412.375,0.240078
5.920,103.276,0.135944
5.930,409.066,0.092021
5.940,407.926,0.045722
5.950,407.512,0.024747
5.960,1217.561,0.026860
5.970,55.754,0.030317
5.980,40.858,0.129955
5.990,370.534,0.288134
6.000,372.477,0.404281
6.010,369.859,0.825381
6.020,366.457,0.807207
6.030,365.290,0.741210
6.040,363.563,0.696217
6.050,361.063,0.691902
6.060,362.539,0.637013
6.070,365.894,0.379480
6.080,364.197,0.491315
6.090,356.530,0.518974
6.100,359.653,0.461645
6.110,361.504,0.461432
6.120,359.896,0.370682
6.130,358.602,0.368023
6.140,354.647,0.410498
6.150,350.809,0.271896
6.160,351.994,0.115702
6.170,55.082,0.124419
6.180,351.335,0.233938
6.190,37.397,0.103517
6.200,371.263,0.043964
6.210,33.001,0.064961
6.220,354.370,0.099380
6.230,1420.866,0.086492
6.240,365.473,0.056275
6.250,369.874,0.077354
6.260,364.118,0.070529
6.270,401.998,0.181417
6.280,400.321,0.311899
6.290,400.744,0.173213
6.300,156.996,0.029600
6.310,164.178,0.024797
6.320,34.264,0.085749
6.330,35.362,0.056921
6.340,36.199,0.197136
6.350,36.722,0.021210
6.360,168.234,0.058646
6.370,120.983,0.042340
6.380,241.429,0.164804
6.390,120.985,0.203182
6.400,118.695,0.055874
6.410,353.085,0.084376
6.420,350.115,0.052414
6.430,35.081,0.141232
6.440,34.737,0.767101
6.450,34.551,0.668207
6.460,35.089,0.053211
6.470,32.197,0.044461
6.480,339.731,0.075454
6.490,34.763,0.126926
6.500,34.766,0.559807
6.510,345.544,0.072945
6.520,307.089,0.165499
6.530,350.424,0.718359
6.540,350.521,0.784882
6.550,351.267,0.802669
6.560,353.945,0.457262
6.570,352.767,0.405556
6.580,353.781,0.273152
6.590,50.943,0.166966
6.600,34.320,0.134122
6.610,34.521,0.577555
6.620,35.000,0.229951
6.630,35.320,0.204121
6.640,337.894,0.303445
6.650,331.595,0.050167
6.660,319.771,0.144120
6.670,33.659,0.216879
6.680,33.952,0.224065
6.690,34.149,0.098391
6.700,34.123,0.046546
6.710,33.943,0.046609
6.720,33.349,0.098707
6.730,32.305,0.150318
6.740,227.646,0.289324
6.750,228.129,0.572902
6.760,227.627,0.292039
6.770,113.819,0.093310
6.780,177.265,0.040336
6.790,35.291,0.508534
6.800,35.236,0.677674
6.810,35.070,0.087848
6.820,33.258,0.068845
6.830,113.719,0.070835
6.840,113.035,0.163602
6.850,111.015,0.221740
6.860,35.887,0.247672
6.870,35.814,0.248432
6.880,175.825,0.064869
6.890,294.002,0.094469
6.900,176.403,0.306866
6.910,175.713,0.333243
6.920,174.963,0.561215
6.930,174.258,0.282543
6.940,177.241,0.247825
6.950,173.185,0.253304
6.960,193.875,0.130698
6.970,236.565,0.397550
6.980,235.190,0.182557
6.990,231.474,0.364632
7.000,229.440,0.245910
