time,frequency,confidence
2.440,247.381,0.187325
2.450,124.714,0.081680
2.460,32.940,0.045944
2.470,989.069,0.046585
2.480,985.683,0.028087
2.490,212.722,0.026591
2.500,211.078,0.207544
2.510,209.358,0.189207
2.520,204.584,0.049450
2.530,32.023,0.041424
2.540,121.554,0.085691
2.550,242.329,0.083893
2.560,33.564,0.575308
2.570,33.508,0.546990
2.580,32.789,0.321015
2.590,227.276,0.243038
2.600,225.653,0.081270
2.610,119.482,0.246567
2.620,120.306,0.383096
2.630,120.844,0.353168
2.640,121.554,0.327803
2.650,121.836,0.278819
2.660,243.865,0.551943
2.670,243.058,0.440398
2.680,240.246,0.262304
2.690,244.986,0.181788
2.700,247.312,0.106093
2.710,202.795,0.109418
2.720,195.791,0.093507
2.730,272.350,0.123260
2.740,113.549,0.032257
2.750,320.624,0.126891
2.760,318.628,0.233443
2.770,317.496,0.467296
2.780,324.389,0.528253
2.790,372.970,0.201453
2.800,122.749,0.275064
2.810,120.961,0.195213
2.820,121.298,0.243335
2.830,224.835,0.133282
2.840,225.208,0.202487
2.850,208.556,0.086163
2.860,206.378,0.188482
2.870,238.955,0.151809
2.880,236.126,0.324840
2.890,229.316,0.354550
2.900,227.900,0.380539
2.910,223.206,0.331230
2.920,220.926,0.137376
2.930,32.266,0.070373
2.940,195.544,0.114815
2.950,167.448,0.056191
2.960,166.815,0.051397
2.970,163.894,0.064624
2.980,162.657,0.077715
2.990,257.272,0.058017
3.000,189.013,0.203457
3.010,187.937,0.293268
3.020,193.577,0.176215
3.030,178.005,0.119262
3.040,231.780,0.130961
3.050,234.958,0.398736
3.060,234.262,0.293197
3.070,238.423,0.229887
3.080,183.485,0.289581
3.090,245.685,0.384301
3.100,181.258,0.344859
3.110,181.265,0.084734
3.120,122.428,0.063800
3.130,122.482,0.053723
3.140,123.850,0.116913
3.150,124.297,0.165339
3.160,43.786,0.089708
3.170,134.566,0.072181
3.180,137.896,0.080876
3.190,188.334,0.065056
3.200,190.868,0.158678
3.210,186.753,0.315997
3.220,183.382,0.490450
3.230,183.934,0.472972
3.240,182.505,0.229715
3.250,224.569,0.228041
3.260,233.443,0.330890
3.270,233.707,0.483080
3.280,120.284,0.245492
3.290,222.727,0.172400
3.300,183.633,0.271896
